RIST 3.99.10
RUSLE Storm Output Table for Period of Data Processed.

Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
11/05/1997   91.70     35.67    16.704    15.552    15.088    12.344    11.168          16.764                 206.935
11/07/1997   28.22     32.50     7.104     5.088     4.192     3.560     3.028           4.515                  16.075
11/11/1997   60.54     24.00     9.600     9.600     9.600     8.064     6.204          10.482                  84.528
11/29/1997   22.44     36.58     2.400     2.400     2.400     2.000     1.800           3.470                   6.940
12/17/1997   63.32     89.33     4.800     4.800     4.800     4.472     3.824           9.877                  44.170
04/04/1998   15.26     14.00     4.848     3.504     2.464     2.000     1.800           2.354                   4.709
04/05/1998   14.43     28.75     4.848     3.720     3.984     3.192     2.596           2.264                   7.227
04/10/1998   14.96     28.42     2.400     2.400     2.400     1.640     1.592           2.313                   3.794
04/11/1998   17.52     19.17     2.400     2.400     1.680     1.640     1.416           2.709                   4.443
04/15/1998   15.76     35.58     4.752     3.672     3.248     2.424     1.976           2.446                   5.928
04/28/1998   50.53     33.83     4.800     4.800     4.800     4.408     4.208           8.015                  35.331
05/24/1998   15.32     17.33     4.800     4.800     4.800     4.800     3.992           2.449                  11.755
05/29/1998   18.63     32.67     9.648     9.600     9.600     7.160     4.180           3.153                  22.575
06/04/1998   19.44      4.17    51.127    45.475    34.843    21.661    14.745           4.356                  94.354
06/05/1998   11.67      2.50    77.760    46.080    33.120    21.366    10.879           2.835                  60.570
06/07/1998   22.97      5.58    14.448    13.224    12.816    10.848     9.228           4.451                  48.287
06/08/1998   19.33     11.58    26.544    23.016    19.248    12.464     8.264           3.752                  46.771
06/10/1998   52.36     38.67    16.656    13.616    13.645    10.390     8.180           9.307                  96.708
06/16/1998   14.30     10.75    12.564    10.788     8.680     6.740     4.370           2.408                  16.228
06/25/1998   51.84      6.00    96.863    77.063    62.838    40.618    21.955          12.177                 494.586
06/27/1998   16.20      6.00    38.880    38.400    30.240    19.863     9.931           3.808                  75.628
07/02/1998   67.51     14.58    96.039    77.733    65.186    46.468    32.528          15.744                 731.583
07/07/1998   23.06      9.58    29.160    21.996    17.300    11.381     9.102           4.468                  50.850
07/14/1998   30.33     17.08    21.696    19.308    17.035    13.586    11.595           5.848                  79.451
07/23/1998   15.11      2.67    52.984    44.173    38.450    23.886    13.767           3.492                  83.405
07/25/1998   36.30     13.50    62.338    58.317    56.141    35.307    19.747           8.462                 298.776
07/27/1998   29.32     12.42    12.150    12.000    11.384    10.776     9.604           5.614                  60.491
07/31/1998   30.73     16.33    49.539    40.843    28.837    14.830    11.013           6.617                  98.135
